study,dataset,version,variable,label,categories,label_de,categories_de
soep-test,ap,v3,ap27,Satisfaction with your family life?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Ihrem Familienleben,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap28,Satisfaction (in case of having children in pre-school age) with the existing po,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit (falls Sie Kinder im Vorschulalter haben) mit den vorhandenen Mögl,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap29,Satisfaction with the democacy how it is persisting in Germany?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""","Zufriedenheit mit der Demokratie, so wie sie in Deutschland besteht","""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,ap,v3,ap30,with the democacy how it is persisting in Germany?,"",berufliche Tätigkeit/genau,""
soep-test,ap,v3,ap31,Income/ Wage (amount),"",Einkommen/Lohn Betrag,""
soep-test,ap,v3,ap32,Income/ Selfemployment (amount),"",Einkommen/selbstständige Tätigkeit Betrag,""
soep-test,ap,v3,ap33,Interest in Politics,"""1"":"" Very strong"", ""2"":""Strong"", ""3"":""Not very strong"", ""4"":""Not at all""",Politikinteresse,"""1"":""Sehr stark"", ""2"":""Stark"", ""3"":""Nicht so stark"", ""4"":""Überhaupt nicht"""
soep-test,ap,v3,ap34,Party,"""1"":""SPD"", ""2"":""CDU"", ""3"":""CSU"", ""4"":""FDP"", ""5"":""Bündnis 90 / Die Grünen"", ""6"":""Die Linke"", ""7"":""DVU / Republikaner / NPD"", ""8"":""Others""",Partei,"""1"":""SPD"", ""2"":""CDU"", ""3"":""CSU"", ""4"":""FDP"", ""5"":""Bündnis 90 / Die Grünen"", ""6"":""Die Linke"", ""7"":""DVU / Republikaner / NPD"", ""8"":""Andere"""
soep-test,ap,v3,ap35,Body height,"",Körpergröße,""
soep-test,ap,v3,ap36,Body weight,"",Körpergewicht,""
soep-test,ap,v3,persnr,Fixed Individual Number,"",Unveraenderliche Personennummer,""
soep-test,apbrutto,v3,ageburt,Geburtsjahr,"",Geburtsjahr,""
soep-test,apbrutto,v3,ahhnr,Aktuelle Haushaltsnummer (=HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,apbrutto,v3,apnat,"","","",""
soep-test,apbrutto,v3,asex,Geschlecht,"""1"":""maennlich"", ""2"":""weiblich""",Geschlecht,"""1"":""maennlich"", ""2"":""weiblich"""
soep-test,apbrutto,v3,hhnr,Ursprungshaushaltsnummer,"",Ursprungshaushaltsnummer,""
soep-test,apbrutto,v3,hhnrakt,Aktuelle Haushaltsnummer (=AHNNR),"",Aktuelle Haushaltsnummer (=AHNNR),""
soep-test,apbrutto,v3,persnr,Unveraenderliche Personennummer,"",Unveraenderliche Personennummer,""
soep-test,apgen,v3,bmi,Body Mass Index,"",Body Mass Index,""
soep-test,apgen,v3,persnr,Fixed individual number,"",Unveraenderliche Personennummer,""
soep-test,bh,v3,bh01,Children,"""0"":"""", ""1"":""Yes"", ""2"":""No""",Kinder,"""0"":"""", ""1"":""Ja"", ""2"":""Nein"""
soep-test,bh,v3,bh02,Dummy for Number of Children,"",Dummy für Anzahl Kinder,""
soep-test,bh,v3,bh03,Year of Birth Child A,"",Geburtsjahr Kind A,""
soep-test,bh,v3,bh04,Year of Birth Child B,"",Geburtsjahr Kind B,""
soep-test,bh,v3,bh05,Geburtsjahr Kind C,"",Geburtsjahr Kind C,""
soep-test,bh,v3,bh06,Geburtsjahr Kind C,"",Geburtsjahr Kind C,""
soep-test,bh,v3,bh07,Change of Residence,"""0"":"""", ""1"":""Yes"", ""2"":""No""",Wohnungswechsel,"""0"":"""", ""1"":""Ja"", ""2"":""Nein"""
soep-test,bh,v3,bh08,Residential Area,"""0"":"""", ""1"":"" A mere residential area with predominantly old buildings"", ""2"":"" A mere residential area with predominantly new buildings"", ""3"":""Mixed area with appartments and stores/ industrial units"", ""4"":""Commercial area (stores, banks, administration) with few appartments"", ""5"":"" Industrial units area with few appartments"", ""6"":""""",Wohngegend,"""0"":"""", ""1"":""Ein reines Wohngebiet mit überwiegend Altbauten"", ""2"":""Ein reines Wohngebiet mit überwiegend Neubauten"", ""3"":""Ein Mischgebiet mit Wohnungen und Geschäften bzw. Gewerbebetrieben"", ""4"":""Ein Geschäftszentrum (Läden, Banken, Verwaltungen) mit wenigen Wohnungen"", ""5"":""Ein Gewerbe- bzw. Industriegebiet mit wenigen Wohnungen"", ""6"":"""""
soep-test,bh,v3,bh09,Rent in Euro,"",Miete in Euro,""
soep-test,bh,v3,bh10,Total Income per Month,"",Alle Einkünfte im Monat,""
soep-test,bh,v3,bhhnr,Current Household Number (=HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,bhbrutto,v3,bbula,Bundesland,"""0"":""Berlin"", ""1"":""Schleswig-Holstein"", ""2"":""Hamburg"", ""3"":""Niedersachsen"", ""4"":""Bremen"", ""5"":""Nordrhein-Westfalen"", ""6"":""Hessen"", ""7"":""Rheinl.-Pfalz, Saarl."", ""8"":""Baden-Wuerttemberg"", ""9"":""Bayern"", ""11"":""Berlin (Ost)"", ""12"":""Mecklenburg-Vorpommern"", ""13"":""Brandenburg"", ""14"":""Sachsen-Anhalt"", ""15"":""Thueringen"", ""16"":""Sachsen""",Bundesland,"""0"":""Berlin"", ""1"":""Schleswig-Holstein"", ""2"":""Hamburg"", ""3"":""Niedersachsen"", ""4"":""Bremen"", ""5"":""Nordrhein-Westfalen"", ""6"":""Hessen"", ""7"":""Rheinl.-Pfalz, Saarl."", ""8"":""Baden-Wuerttemberg"", ""9"":""Bayern"", ""11"":""Berlin (Ost)"", ""12"":""Mecklenburg-Vorpommern"", ""13"":""Brandenburg"", ""14"":""Sachsen-Anhalt"", ""15"":""Thueringen"", ""16"":""Sachsen"""
soep-test,bhbrutto,v3,bhhgr,Haushaltsgröße,"",Haushaltsgröße,""
soep-test,bhbrutto,v3,bhhnr,Aktuelle Haushaltsnummer (=HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,bhbrutto,v3,hhnr,Ursprungshaushaltsnummer,"",Ursprungshaushaltsnummer,""
soep-test,bhbrutto,v3,hhnrakt,Aktuelle Haushaltsnummer (=BHNNR),"",Aktuelle Haushaltsnummer (=BHNNR),""
soep-test,bhbrutto,v3,welle,Befragungswelle (2001=1),"",Befragungswelle (2001=1),""
soep-test,bhgen,v3,bh11,Average household net income,"",Durchschnittsnettohaushaltseinkommen,""
soep-test,bhgen,v3,bh12,Number of household members,"",Anzahl Haushaltsmitglieder,""
soep-test,bhgen,v3,bhhnr,Current household number 2002,"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,bl,v3,bhhnr,Current Household Number =HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,bl,v3,bl01,Germany Nativity,"""1"":""Yes"", ""2"":""No""",Deutschland Geburt,"""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl02,Moving to Germany,"",Zuzug Deutschlandd,""
soep-test,bl,v3,bl03,Immigrant Group,"""0"":"""", ""1"":""Emigrant, meaning German speaking people from easteuropean countries"", ""2"":"" German that has been living overseas for some time"", ""3"":""Citizen of EU member  state"", ""4"":""Asylum seeker or refugee"", ""5"":""Other foreigner""",Zuwanderergruppe,"""0"":"""", ""1"":""Aussiedler, d.h. deutschstämmige Person aus osteuropäischen Staaten"", ""2"":""Deutscher, der längere Zeit im Ausland gelebt hat"", ""3"":""Bürger eines EU-Mitgliedstaates"", ""4"":""Asylbewerber oder Flüchtling"", ""5"":""Sonstiger Ausländer"""
soep-test,bl,v3,bl04,Domicile before 1989,"""1"":""German Democratic Republic incl. East-Berlin"", ""2"":""Federal German Republic incl. West-Berlin"", ""3"":""In another country"", ""4"":""Inapplicable, I was born in 1989 or later"", ""5"":""Inapplicable, I was born in 1989 or later""",Wohnort vor 1989,"""1"":""In der DDR (einschließlich Berlin-Ost)"", ""2"":""In der Bundesrepublik (einschließlich Berlin-West)"", ""3"":""In einem anderen Land"", ""4"":""Trifft nicht zu, bin 1989 oder später geboren"", ""5"":""Inapplicable, I was born in 1989 or later"""
soep-test,bl,v3,bl05,Siblings,"""1"":""Yes"", ""2"":""No""",Geschwister,"""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl06,"Degree of education,  Apprenticeship (GDR: craftsman degree)","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Lehre (DDR: Facharbeiterabschluss)","""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl07,"Degree of education, Vocational school, business school, health school","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Berufsfachschule, Handelsschule, Schule des Gesu","""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl08,"Degree of education, Technical school, i.e. technican degree, master degree","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Fachschule, z.B. Meister-, Technikerabschluss","""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl09,"Degree of education, Public officer education","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Beamtenausbildung","""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl10,"Degree of education, University of applied science, university of cooperative ed","""1"":""Yes"", ""2"":""No""","Art Berufsausbildungsabschluss, Fachhochschule, Berufsakademie (früher: auch Ing","""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl11,"Degree of education, University degree","""1"":""Yes"", ""2"":""No""","Universitäts-, Hochschulabschluss","""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl12,"Degree of education, Other degree","""1"":""Yes"", ""2"":""No""",Sonstiger Abschluss,"""1"":""Ja"", ""2"":""Nein"""
soep-test,bl,v3,bl13,Children,"""0"":"""", ""1"":""No, never had children"", ""2"":""Yes""",Kinder,"""0"":"""", ""1"":""Nein, hatte nie Kinder"", ""2"":""Ja"""
soep-test,bl,v3,bl14,Number of Children,"",Anzahl Kinder,""
soep-test,bl,v3,persnr,Fixed Individual Number,"",Unveraenderliche Personennummer,""
soep-test,blgen,v3,persnr,Fixed individual number,"",Unveraenderliche Personennummer,""
soep-test,bp,v3,bhhnr,Current Household Number (=HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,bp,v3,bp01,Sex,"""1"":""male"", ""2"":""female""",Geschlecht,"""1"":""Männlich"", ""2"":""Weiblich"""
soep-test,bp,v3,bp02,Year of Birth,"",Geburtsjahr,""
soep-test,bp,v3,bp03,Nationality,"",Staatsangehörigkeit,""
soep-test,bp,v3,bp04,Civil Status,"""1"":""Married, cohabiting"", ""2"":""Married, permanently separated"", ""3"":""Single"", ""4"":""Divorced"", ""5"":""Widowed""",Familienstand,"""1"":""Verheiratet, mit Ehepartner zusammenlebend"", ""2"":""Verheiratet, dauernd getrennt lebend"", ""3"":""Ledig"", ""4"":""Geschieden"", ""5"":""Verwitwet"""
soep-test,bp,v3,bp05,"Family Changes, Married","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, habe geheiratet","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp06,"Family Changes, Moved together with partner","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, bin mit Partner/Partnerin zusammengezogen","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp07,"Family Changes, Child was born","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Kind wurde geboren","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp08,"Family changes,  Child entered household","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Kind kam in den Haushalt","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp09,"Family changes, Daughter/son left household","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Sohn/Tochter hat den Haushalt verlassen","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp10,"Family changes, Seperated from partner/spouse","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, habe mich von Ehepartner/Lebenspartner getrennt","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp11,"Family changes, Divorced","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, wurde geschieden","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp12,"Family changes, Partner/ spouse passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Ehepartner/Lebenspartner verstorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp13,"Family changes,  Father passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Vater gestorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp14,"Family changes, Mother passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Mutter ist verstorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp15,"Family changes, Another person in household passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, Kind ist verstorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp16,"Family changes, Child passed away","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, andere Person, die im Haushalt lebte, ist verstorben","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp17,"Family changes, other changes","""1"":""Yes"", ""2"":""No""","familiäre Veränderungen, sonstige Veränderung","""1"":""Ja"", ""2"":""Nein"""
soep-test,bp,v3,bp18,Satisfaction,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Leben insgesamt,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,bp,v3,bp19,Satisfaction with your health,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Ihrer Gesundheit?,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,bp,v3,bp20,Satisfaction with your sleep?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit mit Ihrem Schlaf?,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,bp,v3,bp21,Satisfaction (in case of employment) with your work?,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit (falls Sie erwerbstätig sind) mit Ihrer Arbeit?,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
soep-test,bp,v3,bp22,Satisfaction (if you are doing household chores) with the chores in your househo,"""0"":""0 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""1"":""1 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""2"":""2 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""3"":""3 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""4"":""4 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""5"":""5 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""6"":""6 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""7"":""7 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""8"":""8 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""9"":""9 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied"", ""10"":""10 Satisfaction: ""0"" not satisfied at all, ""10"" throughout satisfied""",Zufriedenheit (falls Sie im Haushalt tätig sind) mit Ihrer Tätigkeit im Haushalt,"""0"":""0 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""1"":""1 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""2"":""2 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""3"":""3 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""4"":""4 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""5"":""5 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""6"":""6 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""7"":""7 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""8"":""8 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""9"":""9 Zufrieden: Skala 1-Niedrig bis 10-Hoch"", ""10"":""10 Zufrieden: Skala 1-Niedrig bis 10-Hoch"""
